MH687978.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_6, complete genome
LC494170.1 Bovine coronavirus TCG-15 RNA, complete genome
LC494169.1 Bovine coronavirus TCG-14 RNA, complete genome
LC494168.1 Bovine coronavirus TCG-13 RNA, complete genome
LC494167.1 Bovine coronavirus TCG-12 RNA, complete genome
LC494166.1 Bovine coronavirus TCG-11 RNA, complete genome
LC494165.1 Bovine coronavirus TCG-10 RNA, complete genome
LC494164.1 Bovine coronavirus TCG-1 RNA, complete genome
LC494163.1 Bovine coronavirus TCG-2 RNA, complete genome
LC494162.1 Bovine coronavirus TCG-3 RNA, complete genome
LC494161.1 Bovine coronavirus TCG-5 RNA, complete genome
LC494160.1 Bovine coronavirus TCG-4 RNA, complete genome
LC494159.1 Bovine coronavirus SHG-6 RNA, complete genome
LC494158.1 Bovine coronavirus SHG-5 RNA, complete genome
LC494157.1 Bovine coronavirus SHG-4 RNA, complete genome
LC494156.1 Bovine coronavirus SHG-3 RNA, complete genome
LC494155.1 Bovine coronavirus SHG-2 RNA, complete genome
LC494154.1 Bovine coronavirus SHG-1 RNA, complete genome
LC494153.1 Bovine coronavirus IWT-27 RNA, complete genome
LC494152.1 Bovine coronavirus IWT-26 RNA, complete genome
LC494151.1 Bovine coronavirus IWT-25 RNA, complete genome
LC494150.1 Bovine coronavirus IWT-24 RNA, complete genome
LC494149.1 Bovine coronavirus IWT-23 RNA, complete genome
LC494148.1 Bovine coronavirus IWT-22 RNA, complete genome
LC494147.1 Bovine coronavirus IWT-17 RNA, complete genome
LC494146.1 Bovine coronavirus IWT-16 RNA, complete genome
LC494145.1 Bovine coronavirus IWT-21 RNA, complete genome
LC494144.1 Bovine coronavirus IWT-20 RNA, complete genome
LC494143.1 Bovine coronavirus IWT-19 RNA, complete genome
LC494142.1 Bovine coronavirus IWT-18 RNA, complete genome
LC494141.1 Bovine coronavirus IWT-15 RNA, complete genome
LC494140.1 Bovine coronavirus IWT-14 RNA, complete genome
LC494139.1 Bovine coronavirus IWT-13 RNA, complete genome
LC494138.1 Bovine coronavirus IWT-12 RNA, complete genome
LC494137.1 Bovine coronavirus IWT-11 RNA, complete genome
LC494136.1 Bovine coronavirus IWT-8 RNA, complete genome
LC494135.1 Bovine coronavirus IWT-7 RNA, complete genome
LC494134.1 Bovine coronavirus IWT-6 RNA, complete genome
LC494133.1 Bovine coronavirus IWT-5 RNA, complete genome
LC494132.1 Bovine coronavirus IWT-4 RNA, complete genome
LC494131.1 Bovine coronavirus IWT-3 RNA, complete genome
LC494130.1 Bovine coronavirus IWT-2 RNA, complete genome
LC494129.1 Bovine coronavirus IWT-1 RNA, complete genome
LC494128.1 Bovine coronavirus IWT-10 RNA, complete genome
LC494127.1 Bovine coronavirus IWT-9 RNA, complete genome
LC494126.1 Bovine coronavirus GIF-1 RNA, complete genome
LC494192.1 Bovine coronavirus TCG-33 RNA, complete genome
LC494191.1 Bovine coronavirus TCG-32 RNA, complete genome
LC494190.1 Bovine coronavirus TCG-31 RNA, complete genome
LC494189.1 Bovine coronavirus TCG-30 RNA, complete genome
LC494188.1 Bovine coronavirus TCG-29 RNA, complete genome
LC494187.1 Bovine coronavirus TCG-28 RNA, complete genome
LC494186.1 Bovine coronavirus TCG-27 RNA, complete genome
LC494185.1 Bovine coronavirus TCG-26 RNA, complete genome
LC494184.1 Bovine coronavirus TCG-25 RNA, complete genome
LC494183.1 Bovine coronavirus TCG-24 RNA, complete genome
LC494182.1 Bovine coronavirus TCG-23 RNA, complete genome
LC494181.1 Bovine coronavirus TCG-22 RNA, complete genome
LC494180.1 Bovine coronavirus TCG-21 RNA, complete genome
LC494179.1 Bovine coronavirus TCG-20 RNA, complete genome
MG772934.1 Bat SARS-like coronavirus isolate bat-SL-CoVZXC21, complete genome
MG772933.1 Bat SARS-like coronavirus isolate bat-SL-CoVZC45, complete genome
KY352407.1 Severe acute respiratory syndrome-related coronavirus strain BtKY72, complete genome
MN025260.1 Porcine deltacoronavirus, complete genome
MN056942.1 Porcine epidemic diarrhea virus strain FR2019001, complete genome
MN114121.1 Porcine epidemic diarrhea virus isolate CT P10, complete genome
MN566147.1 Infectious bronchitis virus isolate GA/1359/1994, complete genome
MN611525.1 Hipposideros pomona bat coronavirus CHB25 isolate CHB0025, complete genome
MN611524.1 Miniopterus schreibersii bat coronavirus 1-related isolate 161454, complete genome
MN611523.1 Hipposideros pomona bat coronavirus HKU10-related isolate 160942, complete genome
MN611522.1 Rhinolophus affinis bat coronavirus HKU2-related isolate 160660, complete genome
MN611521.1 Scotophilus kuhlii bat coronavirus 512-related isolate HK140714, complete genome
MN611520.1 Pipistrellus abramus bat coronavirus HKU5-related isolate BY140568, complete genome
MN611519.1 Tylonycteris pachypus bat coronavirus HKU4-related isolate GZ131656, complete genome
MN611518.1 Miniopterus pusillus bat coronavirus HKU8-related isolate 6610, complete genome
MN611517.1 Rousettus aegyptiacus bat coronavirus 229E-related isolate 5425, complete genome
MK071639.1 Porcine epidemic diarrhea virus strain COL/Cauca/2015, complete genome
MK071638.1 Porcine epidemic diarrhea virus strain COL/Antioquia14856/2015, complete genome
MK071637.1 Porcine epidemic diarrhea virus strain COL/Antioquia10641/2015, complete genome
MK071636.1 Porcine epidemic diarrhea virus strain COL/Antioquia09831/2015, complete genome
MK071635.1 Porcine epidemic diarrhea virus strain COL/Antioquia09796/2015, complete genome
MK071634.1 Porcine epidemic diarrhea virus strain COL/ValledelCauca08565/2015, complete genome
MK071633.1 Porcine epidemic diarrhea virus strain COL/Antioquia08520/2015, complete genome
MK071632.1 Porcine epidemic diarrhea virus strain COL/ValledelCauca/2015, complete genome
MK071631.1 Porcine epidemic diarrhea virus strain COL/Antioquia08010/2015, complete genome
MK071630.1 Porcine epidemic diarrhea virus strain COL/Antioquia07053/2015, complete genome
MK071629.1 Porcine epidemic diarrhea virus strain COL/Antioquia06285/2015, complete genome
MK071628.1 Porcine epidemic diarrhea virus strain COL/ValledelCauca05762/2015, complete genome
MK071627.1 Porcine epidemic diarrhea virus strain COL/ValledelCauca05761/2015, complete genome
MK071626.1 Porcine epidemic diarrhea virus strain COL/Cundinamarca/2015, complete genome
MK071625.1 Porcine epidemic diarrhea virus strain COL/Antioquia/2014, complete genome
MK071624.1 Porcine epidemic diarrhea virus strain COL/Cundinamarca03962/2014, complete genome
MK071623.1 Porcine epidemic diarrhea virus strain COL/Cundinamarca03715/2014, complete genome
MK071622.1 Porcine epidemic diarrhea virus strain COL/Huila/2014, complete genome
MK071621.1 Porcine epidemic diarrhea virus strain COL/Cundinamarca03267/2014, complete genome
MK071620.1 Porcine epidemic diarrhea virus strain COL/Antioquia00958/2015, complete genome
MK071619.1 Porcine epidemic diarrhea virus strain COL/Antioquia00265/2015, complete genome
KX998969.1 Porcine deltacoronavirus isolate P29_15_VN_1215, complete genome
MK584552.1 Porcine epidemic diarrhea virus strain AJ1102(F12), complete genome
MK993519.1 Porcine deltacoronavirus isolate CHN/Sichuan/2019, complete genome
MK472071.1 Alphacoronavirus sp. isolate WAAlc1, complete genome
MK472069.1 Alphacoronavirus sp. isolate WA3301, complete genome
MK472068.1 Alphacoronavirus sp. isolate WA2028, complete genome
MK472070.1 Alphacoronavirus sp. isolate WA3607, complete genome
MK472067.1 Alphacoronavirus sp. isolate WA1087, complete genome
MN599049.1 Infectious bronchitis virus isolate GA/1476/2015, complete genome
MN723544.1 Middle East respiratory syndrome-related coronavirus isolate Hu/Riyadh-KSA-18013832/2018, complete genome
MN723543.1 Middle East respiratory syndrome-related coronavirus isolate Hu/Jeddah-KSA-173RS1570/2017, complete genome
MN723542.1 Middle East respiratory syndrome-related coronavirus isolate Hu/Jeddah-KSA-173RS1101/2017, complete genome
MK967708.1 Middle East respiratory syndrome-related coronavirus isolate Merscov/Egypt/Camel/AHRI-FAO-1/2018, complete genome
MN197549.1 Infectious bronchitis virus isolate CK/CH/GD/GDTS13, complete genome
LN610099.1 Guinea fowl coronavirus GfCoV/FR/2011 complete genome
MN512438.1 Infectious bronchitis virus isolate IBV/Ck/Can/18-049707, complete genome
MN512437.1 Infectious bronchitis virus isolate IBV/Ck/Can/18-048430, complete genome
MN512436.1 Infectious bronchitis virus isolate IBV/Ck/Can/18-048192T, complete genome
MN512435.1 Infectious bronchitis virus isolate IBV/Ck/Can/17-036989, complete genome
MN512434.1 Infectious bronchitis virus isolate IBV/Ck/Can/17-035614, complete genome
MK862249.1 Porcine epidemic diarrhea virus strain HeN170821, complete genome
MK702008.1 Porcine epidemic diarrhea virus isolate SNJ-P, complete genome
MK907287.1 Erinaceus hedgehog coronavirus HKU31 strain Rs13, complete genome
MK907286.1 Erinaceus hedgehog coronavirus HKU31 strain F6, complete genome
MG233398.1 Infectious bronchitis virus isolate IS-1494, complete genome
MN249445.1 Porcine deltacoronavirus isolate CHN-JS-2017, complete genome
MK796238.1 Porcine epidemic diarrhea virus strain CN/Liaoning25/2018, complete genome
MN507638.1 Middle East respiratory syndrome-related coronavirus isolate llama-passaged-Qatar15, complete genome
MK673545.1 Porcine epidemic diarrhea virus strain TW/Yunlin550/2018, complete genome
MK644605.1 Porcine epidemic diarrhea virus isolate T10-HB2018, complete genome
MK644604.1 Porcine epidemic diarrhea virus isolate N7-GD2017, complete genome
MK644603.1 Porcine epidemic diarrhea virus isolate M3-SX2017, complete genome
MK644602.1 Porcine epidemic diarrhea virus isolate L6-HB2017, complete genome
MK644601.1 Porcine epidemic diarrhea virus isolate G2-HE2017, complete genome
MN514967.1 Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Nigeria/NV1385/2016, complete genome
MN514966.1 Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Nigeria/NV1097/2015, complete genome
MN514965.1 Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Nigeria/NV1092/2015, complete genome
MN514964.1 Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Nigeria/NV1010/2015, complete genome
MN514963.1 Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Morocco/CAC2586/2016, complete genome
MN514962.1 Dromedary camel coronavirus HKU23 isolate DcCoV-HKU23/camel/Ethiopia/CAC1019/2015, complete genome
MK878536.1 Infectious bronchitis virus isolate GA9977/2019, complete genome
MH726408.1 Porcine epidemic diarrhea virus isolate GDS09, complete genome
MH726407.1 Porcine epidemic diarrhea virus isolate GDS52, complete genome
MH726406.1 Porcine epidemic diarrhea virus isolate GDS49, complete genome
MH726405.1 Porcine epidemic diarrhea virus isolate GDS48, complete genome
MH726404.1 Porcine epidemic diarrhea virus isolate GDS53, complete genome
MH726403.1 Porcine epidemic diarrhea virus isolate GDS51, complete genome
MH726402.1 Porcine epidemic diarrhea virus isolate GDS46, complete genome
MH726401.1 Porcine epidemic diarrhea virus isolate GDS41, complete genome
MH726400.1 Porcine epidemic diarrhea virus isolate GDS45, complete genome
MH726399.1 Porcine epidemic diarrhea virus isolate GDS42, complete genome
MH726398.1 Porcine epidemic diarrhea virus isolate GDS37, complete genome
MH726397.1 Porcine epidemic diarrhea virus isolate GDS38, complete genome
MH726396.1 Porcine epidemic diarrhea virus isolate GDS35, complete genome
MH726395.1 Porcine epidemic diarrhea virus isolate GDS32, complete genome
MH726394.1 Porcine epidemic diarrhea virus isolate GDS31, complete genome
MH726393.1 Porcine epidemic diarrhea virus isolate GDS14, complete genome
MH726392.1 Porcine epidemic diarrhea virus isolate GDS44, complete genome
MH726391.1 Porcine epidemic diarrhea virus isolate GDS15, complete genome
MH726390.1 Porcine epidemic diarrhea virus isolate GDS40, complete genome
MH726389.1 Porcine epidemic diarrhea virus isolate GDS39, complete genome
MH726388.1 Porcine epidemic diarrhea virus isolate GDS36, complete genome
MH726387.1 Porcine epidemic diarrhea virus isolate GDS12, complete genome
MH726386.1 Porcine epidemic diarrhea virus isolate GDS16, complete genome
MH726385.1 Porcine epidemic diarrhea virus isolate GDS08, complete genome
MH726384.1 Porcine epidemic diarrhea virus isolate GDS06, complete genome
MH726383.1 Porcine epidemic diarrhea virus isolate GDS50, complete genome
MH726382.1 Porcine epidemic diarrhea virus isolate GDS47, complete genome
MH726381.1 Porcine epidemic diarrhea virus isolate GDS43, complete genome
MH726380.1 Porcine epidemic diarrhea virus isolate GDS27, complete genome
MH726379.1 Porcine epidemic diarrhea virus isolate GDS33, complete genome
MH726378.1 Porcine epidemic diarrhea virus isolate GDS34, complete genome
MH726377.1 Porcine epidemic diarrhea virus isolate GDS29, complete genome
MH726376.1 Porcine epidemic diarrhea virus isolate GDS18, complete genome
MH726375.1 Porcine epidemic diarrhea virus isolate GDS19, complete genome
MH726374.1 Porcine epidemic diarrhea virus isolate GDS11, complete genome
MH726373.1 Porcine epidemic diarrhea virus isolate GDS13, complete genome
MH726372.1 Porcine epidemic diarrhea virus isolate GDS28, complete genome
MH726371.1 Porcine epidemic diarrhea virus isolate GDS21, complete genome
MH726370.1 Porcine epidemic diarrhea virus isolate GDS07, complete genome
MH726369.1 Porcine epidemic diarrhea virus isolate GDS30, complete genome
MH726368.1 Porcine epidemic diarrhea virus isolate GDS22, complete genome
MH726367.1 Porcine epidemic diarrhea virus isolate GDS26, complete genome
MH726366.1 Porcine epidemic diarrhea virus isolate GDS24, complete genome
MH726365.1 Porcine epidemic diarrhea virus isolate GDS25, complete genome
MH726364.1 Porcine epidemic diarrhea virus isolate GDS17, complete genome
MH726363.1 Porcine epidemic diarrhea virus isolate GDS20, complete genome
MH726362.1 Porcine epidemic diarrhea virus isolate GDS05, complete genome
MN065811.1 Bat alphacoronavirus strain BtCoV/008_16/M.bra/FIN/2016, complete genome
MK690502.1 Porcine epidemic diarrhea virus isolate HM2017, complete genome
MK558089.1 Porcine epidemic diarrhea virus strain SF4017, complete genome
LC469308.1 Bat coronavirus Vs-CoV-1 genomic RNA, nearly complete genome
MK280984.2 Middle East respiratory syndrome-related coronavirus isolate Qatar15, complete genome
MN365233.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-19003852/2019, complete genome
MN365232.1 Middle East respiratory syndrome-related coronavirus strain Hu/Riyadh-KSA-19001796/2019, complete genome
MN096598.1 Infectious bronchitis virus strain ck/CH/YNSL/160501, complete genome
MK977618.1 Swine enteric alphacoronavirus strain SeACoV-p10, complete genome
MK492263.1 Bat coronavirus strain BtCoV92, complete genome
MK409659.1 Porcine epidemic diarrhea virus isolate ZJ15XS0101-P120, complete genome
MK409658.1 Porcine epidemic diarrhea virus isolate ZJ15XS0101-P35, complete genome
MK409657.1 Porcine epidemic diarrhea virus isolate ZJ15XS0101-P16, complete genome
MN037494.1 Porcine epidemic diarrhea virus strain WHLL, complete genome
MK841495.1 Porcine epidemic diarrhea virus isolate PEDV YZ, complete genome
MK841494.1 Porcine epidemic diarrhea virus isolate PEDV SH, complete genome
MG893511.1 Feline coronavirus isolate Felix, complete genome
MK482397.1 Porcine epidemic diarrhea virus isolate KNU-1830, complete genome
MK482396.1 Porcine epidemic diarrhea virus isolate KNU-1829, complete genome
MK559456.1 Porcine epidemic diarrhea virus isolate Aram-P29-CA, complete genome
MK559455.1 Porcine epidemic diarrhea virus isolate Aram-P5, complete genome
MK559454.1 Porcine epidemic diarrhea virus isolate Aram-feces, complete genome
MH593900.1 Porcine epidemic diarrhea virus strain S236, complete genome
MN120514.1 Middle East respiratory syndrome-related coronavirus isolate 013, complete genome
MN120513.1 Middle East respiratory syndrome-related coronavirus isolate 016, complete genome
MK330605.1 Porcine deltacoronavirus strain CHN/Sichuan/2018, complete genome
MK330604.1 Porcine deltacoronavirus strain CHN/Sichuan/2017, complete genome
MK329221.1 Infectious bronchitis virus isolate CK-CH-GX-YL17, complete genome
MN165107.1 Feline coronavirus isolate XXN, complete genome
MK309398.1 Infectious bronchitis virus isolate CK/CH/GD/HY16, complete genome
KJ477103.2 Middle East respiratory syndrome-related coronavirus isolate NRCE-HKU270, complete genome
MK572803.1 Porcine deltacoronavirus strain SCNC201705, complete genome
MK355396.1 Porcine deltacoronavirus strain CHN-SC2015, complete genome
MN026164.1 Human coronavirus OC43 isolate OC43_KLF_01_2018, complete genome
MK211379.1 Coronavirus BtRt-BetaCoV/GX2018, complete genome
MK211378.1 Coronavirus BtRs-BetaCoV/YN2018D, complete genome
MK211377.1 Coronavirus BtRs-BetaCoV/YN2018C, complete genome
MK211376.1 Coronavirus BtRs-BetaCoV/YN2018B, complete genome
MK211375.1 Coronavirus BtRs-BetaCoV/YN2018A, complete genome
MK211374.1 Coronavirus BtRl-BetaCoV/SC2018, complete genome
MK211373.1 Coronavirus BtRs-AlphaCoV/YN2018, complete genome
MK211372.1 Coronavirus BtSk-AlphaCoV/GX2018D, complete genome
MK211371.1 Coronavirus BtSk-AlphaCoV/GX2018C, complete genome
MK211370.1 Coronavirus BtSk-AlphaCoV/GX2018B, complete genome
MK211369.1 Coronavirus BtSk-AlphaCoV/GX2018A, complete genome
MK211169.1 Porcine deltacoronavirus strain CHN/Sichuan/2017, complete genome
MK651076.1 Swine acute diarrhea syndrome coronavirus strain GDLX/2019, complete genome
MK564475.1 Middle East respiratory syndrome-related coronavirus isolate camel/MERS/Amibara/126/2017, complete genome
MK564474.1 Middle East respiratory syndrome-related coronavirus isolate camel/MERS/Amibara/118/2017, complete genome
MK937833.1 Infectious bronchitis virus strain ck/CH/LJL/140820, complete genome
MK937832.1 Infectious bronchitis virus strain ck/CH/LJL/130906, complete genome
MK937831.1 Infectious bronchitis virus strain H120, complete genome
MK937830.1 Infectious bronchitis virus strain M41, complete genome
MK937829.1 Infectious bronchitis virus strain I0306/17, complete genome
MK937828.1 Infectious bronchitis virus strain I1124/16, complete genome
MK574043.1 Infectious bronchitis virus strain ck/CH/LHB/110617, complete genome
MK574042.1 Infectious bronchitis virus strain ck/CH/LHB/110615, complete genome
MK423877.1 Pheasant coronavirus strain gammaCoV/ph/China/I0623/17, complete genome
MK423876.1 Pheasant coronavirus strain gammaCoV/ph/China/I0710/17, complete genome
